run_id,loss_mode,lr,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,bce,0.0001,10,30,10,1.0756,0.1359,0.2857,ok
2,bce,0.0001,20,30,10,1.2952,0.0783,0.2012,ok
3,bce,0.0001,10,50,10,1.4478,0.0395,0.1501,ok
4,bce,0.0001,20,50,10,1.1579,0.1254,0.2493,ok
5,bce,0.0003,10,30,10,1.0404,0.1426,0.3003,ok
6,bce,0.0003,20,30,10,1.1225,0.1386,0.2901,ok
7,bce,0.0003,10,50,10,1.0617,0.1378,0.2945,ok
8,bce,0.0003,20,50,10,1.0959,0.1366,0.2522,ok
9,bce,0.001,10,30,10,1.0303,0.1443,0.3294,ok
10,bce,0.001,20,30,10,0.9633,0.1455,0.3469,ok
11,bce,0.001,10,50,10,0.9706,0.1492,0.3309,ok
12,bce,0.001,20,50,10,0.9965,0.1499,0.3134,ok
13,bce,0.003,10,30,10,1.0377,0.1491,0.293,ok
14,bce,0.003,20,30,10,0.9149,0.1549,0.3673,ok
15,bce,0.003,10,50,10,1.0737,0.1418,0.3017,ok
16,bce,0.003,20,50,10,0.9709,0.1533,0.3251,ok
17,focal,0.0001,10,30,10,1.2372,0.1162,0.2128,ok
18,focal,0.0001,20,30,10,1.2581,0.1127,0.2055,ok
19,focal,0.0001,10,50,10,1.2912,0.1128,0.2187,ok
20,focal,0.0001,20,50,10,1.2651,0.112,0.1968,ok
21,focal,0.0003,10,30,10,1.1097,0.1401,0.2595,ok
22,focal,0.0003,20,30,10,1.0874,0.1372,0.2741,ok
23,focal,0.0003,10,50,10,1.1229,0.1341,0.2697,ok
24,focal,0.0003,20,50,10,1.1082,0.1368,0.2551,ok
25,focal,0.001,10,30,10,1.0563,0.142,0.2959,ok
26,focal,0.001,20,30,10,1.0822,0.1384,0.2595,ok
27,focal,0.001,10,50,10,1.1099,0.1429,0.2609,ok
28,focal,0.001,20,50,10,1.0941,0.1377,0.2843,ok
29,focal,0.003,10,30,10,1.0781,0.1454,0.2959,ok
30,focal,0.003,20,30,10,1.1501,0.131,0.2376,ok
31,focal,0.003,10,50,10,0.9902,0.1443,0.328,ok
32,focal,0.003,20,50,10,1.08,0.1492,0.2711,ok
33,pos_weight,0.0001,10,30,10,1.1427,0.1286,0.2813,ok
34,pos_weight,0.0001,20,30,10,1.1198,0.1282,0.2711,ok
35,pos_weight,0.0001,10,50,10,1.11,0.1407,0.2843,ok
36,pos_weight,0.0001,20,50,10,1.5773,-0.032,0.1647,ok
37,pos_weight,0.0003,10,30,10,1.0422,0.1479,0.2915,ok
38,pos_weight,0.0003,20,30,10,1.1249,0.1319,0.2522,ok
39,pos_weight,0.0003,10,50,10,1.0467,0.145,0.2959,ok
40,pos_weight,0.0003,20,50,10,1.0591,0.1463,0.3003,ok
41,pos_weight,0.001,10,30,10,1.1753,0.1318,0.2653,ok
42,pos_weight,0.001,20,30,10,1.1807,0.1478,0.277,ok
43,pos_weight,0.001,10,50,10,1.055,0.15,0.2915,ok
44,pos_weight,0.001,20,50,10,1.0053,0.1524,0.3134,ok
45,pos_weight,0.003,10,30,10,0.9847,0.1499,0.3324,ok
46,pos_weight,0.003,20,30,10,0.9707,0.1459,0.3236,ok
47,pos_weight,0.003,10,50,10,1.1092,0.148,0.2813,ok
48,pos_weight,0.003,20,50,10,0.9817,0.1513,0.3382,ok
