run_id,loss_mode,combo,lr,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,coral,baseline,0.001,20,30,10,1.1006,0.1386,0.2886,ok
2,coral,baseline,0.001,20,50,10,1.0623,0.1428,0.2901,ok
3,coral,baseline,0.003,20,30,10,0.9414,0.1506,0.3528,ok
4,coral,baseline,0.003,20,50,10,0.9894,0.1444,0.328,ok
5,coral,baseline,0.01,20,30,10,1.0288,0.1358,0.3265,ok
6,coral,baseline,0.01,20,50,10,1.1869,0.1122,0.2362,ok
7,coral,ecr_warmup_only,0.001,20,30,10,0.9824,0.1455,0.3324,ok
8,coral,ecr_warmup_only,0.001,20,50,10,1.0673,0.138,0.2741,ok
9,coral,ecr_warmup_only,0.003,20,30,10,1.062,0.1456,0.3047,ok
10,coral,ecr_warmup_only,0.003,20,50,10,0.994,0.1393,0.3207,ok
11,coral,ecr_warmup_only,0.01,20,30,10,1.4222,0.0215,0.1516,ok
12,coral,ecr_warmup_only,0.01,20,50,10,1.1583,0.124,0.2259,ok
