run_id,lr,use_head_ln,use_modal_gate,use_attn_pooling,attn_pooling_dropout,hyper_num_text,hyper_num_audio,hyper_num_video,mae,corr,acc7,status
1,0.003,0,1,0,0.1,20,30,10,1.097,0.5885,0.258,ok
2,0.003,0,1,1,0.1,20,30,10,1.0554,0.5953,0.3047,ok
3,0.003,0,1,0,0.1,50,20,10,,,,fail(1)
4,0.003,0,1,1,0.1,50,20,10,,,,fail(1)
5,0.001,0,1,0,0.1,20,30,10,0.9871,0.6225,0.3484,ok
6,0.001,0,1,1,0.1,20,30,10,1.2144,0.4614,0.2128,ok
7,0.001,0,1,0,0.1,50,20,10,,,,fail(1)
8,0.001,0,1,1,0.1,50,20,10,,,,fail(1)
9,0.0003,0,1,0,0.1,20,30,10,1.0336,0.5931,0.2988,ok
10,0.0003,0,1,1,0.1,20,30,10,1.1482,0.5578,0.2478,ok
11,0.0003,0,1,0,0.1,50,20,10,,,,fail(1)
12,0.0003,0,1,1,0.1,50,20,10,,,,fail(1)
