run_id,sweep,k,hyper_topk,hyper_tau,kappa,accuracy,f1_macro,f1_weighted,status
1,hyperedge_num,2,3,0.5,0.1,0.7288,0.7191,0.7275,ok
2,hyperedge_num,3,3,0.5,0.1,0.7319,0.7223,0.7305,ok
3,hyperedge_num,4,3,0.5,0.1,0.7265,0.7136,0.7237,ok
4,hyperedge_num,6,3,0.5,0.1,0.7291,0.7156,0.725,ok
5,sparsity_topk,3,2,0.5,0.1,0.7265,0.7134,0.7228,ok
6,sparsity_topk,3,3,0.5,0.1,0.7237,0.7122,0.7221,ok
7,sparsity_topk,3,4,0.5,0.1,0.7228,0.7097,0.7193,ok
8,temperature_tau,3,3,0.3,0.1,0.7265,0.7144,0.7233,ok
9,temperature_tau,3,3,0.5,0.1,0.7289,0.7203,0.7285,ok
10,temperature_tau,3,3,0.7,0.1,0.7256,0.7152,0.7241,ok
11,temperature_tau,3,3,1.0,0.1,0.7279,0.7186,0.7262,ok
12,ecr_kappa,3,3,0.5,0.0,0.7321,0.7228,0.7311,ok
13,ecr_kappa,3,3,0.5,0.05,0.7289,0.7153,0.7248,ok
14,ecr_kappa,3,3,0.5,0.1,0.7279,0.7202,0.7281,ok
15,ecr_kappa,3,3,0.5,0.2,0.7267,0.7188,0.7273,ok
