stage,epoch,batch,modality,seq_len,hyper_num,num_connections,node_list,hyperedge_list,weight_singular_values,weight_rank,weight_condition_number
epoch_start,0,0,audio,518,10,10,"[79, 208, 202, 213, 68, 52, 35, 202, 175, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.794194221496582, 1.7589311599731445, 1.7502923011779785, 1.7274773120880127, 1.7134087085723877, 1.7053594589233398, 1.6948630809783936, 1.6806061267852783, 1.6722187995910645, 1.6693363189697266]",128,2.045167922973633
epoch_end,0,0,audio,518,10,10,"[79, 208, 202, 213, 68, 52, 35, 202, 175, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6.468656063079834, 5.271609306335449, 3.6889524459838867, 3.016566276550293, 2.8792383670806885, 2.1131069660186768, 1.978725552558899, 1.7592883110046387, 1.7385236024856567, 1.7209094762802124]",128,7.427231788635254
epoch_start,1,0,audio,518,10,10,"[79, 208, 235, 213, 68, 52, 35, 202, 175, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6.468656063079834, 5.271609306335449, 3.6889524459838867, 3.016566276550293, 2.8792383670806885, 2.1131069660186768, 1.978725552558899, 1.7592883110046387, 1.7385236024856567, 1.7209094762802124]",128,7.427231788635254
epoch_end,1,0,audio,518,10,10,"[79, 14, 60, 15, 68, 52, 35, 43, 103, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.257550239562988, 6.640468120574951, 5.5406599044799805, 4.479398250579834, 4.187510013580322, 3.161649703979492, 2.473602056503296, 1.796439290046692, 1.7651745080947876, 1.7345081567764282]",128,9.44796371459961
epoch_start,2,0,audio,518,10,10,"[79, 208, 235, 213, 68, 52, 35, 202, 175, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.257550239562988, 6.640468120574951, 5.5406599044799805, 4.479398250579834, 4.187510013580322, 3.161649703979492, 2.473602056503296, 1.796439290046692, 1.7651745080947876, 1.7345081567764282]",128,9.44796371459961
epoch_end,2,0,audio,518,10,10,"[79, 208, 365, 434, 68, 269, 367, 348, 263, 312]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.803139686584473, 6.94282341003418, 5.958502769470215, 4.969850063323975, 4.860305309295654, 3.73634672164917, 2.867382764816284, 1.8113391399383545, 1.7642691135406494, 1.738366961479187]",128,8.934247016906738
epoch_start,3,0,audio,518,10,10,"[79, 208, 267, 213, 68, 52, 35, 202, 263, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.803139686584473, 6.94282341003418, 5.958502769470215, 4.969850063323975, 4.860305309295654, 3.73634672164917, 2.867382764816284, 1.8113391399383545, 1.7642691135406494, 1.738366961479187]",128,8.934247016906738
epoch_end,3,0,audio,518,10,10,"[79, 208, 365, 213, 68, 269, 367, 348, 263, 312]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.645420074462891, 7.016627788543701, 5.6774115562438965, 5.618123531341553, 4.9101104736328125, 3.828472852706909, 3.095144510269165, 1.9334787130355835, 1.7666200399398804, 1.7431321144104004]",128,8.743428230285645
epoch_start,4,0,audio,518,10,10,"[79, 208, 365, 434, 68, 269, 367, 348, 263, 312]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.645420074462891, 7.016627788543701, 5.6774115562438965, 5.618123531341553, 4.9101104736328125, 3.828472852706909, 3.095144510269165, 1.9334787130355835, 1.7666200399398804, 1.7431321144104004]",128,8.743428230285645
epoch_end,4,0,audio,518,10,10,"[79, 14, 60, 177, 68, 52, 35, 43, 175, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.636638164520264, 7.0416998863220215, 5.7698211669921875, 5.524556636810303, 4.972107887268066, 3.9584786891937256, 3.2440991401672363, 2.0651795864105225, 1.7704143524169922, 1.7577804327011108]",128,8.727171897888184
training_complete,4,0,audio,518,10,10,"[79, 14, 60, 15, 68, 52, 35, 43, 103, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.803139686584473, 6.94282341003418, 5.958502769470215, 4.969850063323975, 4.860305309295654, 3.73634672164917, 2.867382764816284, 1.8113391399383545, 1.7642691135406494, 1.738366961479187]",128,8.934247016906738
